ID,Data,Cliente,Produto,Categoria,Quantidade,Preço,Estado
1,2021-04-01,Desconhecido,Camiseta,Roupas,4,46.26,RJ
2,2021-07-25,Desconhecido,Panela,Casa,437,132.13,PR
3,2024-09-24,Ana Silva,Laptop A,Eletrônicos,3,3765.14,RJ
4,2025-08-31,Mariana Alves,Jaqueta,Roupas,3,254.28,PR
5,2024-09-14,Carlos Pereira,Perfume,Beleza,2,206.79,RS
6,2020-01-27,Desconhecido,Cortina,Casa,2,194.17,RJ
7,2021-09-28,Maria Oliveira,Fone X,Eletrônicos,3,153.28,MG
8,2021-01-31,Maria Oliveira,Perfume,Beleza,1,239.4,RS
9,2020-06-26,Mariana Alves,Smartwatch Z,Eletrônicos,3,709.56,SP
10,2023-04-15,Mariana Alves,Jaqueta,Roupas,393,304.03,SP
11,2020-07-06,Maria Oliveira,Laptop A,Eletrônicos,3,3744.45,
12,2021-02-17,Maria Oliveira,Vassoura,Casa,3,25.43,
13,2024-02-03,Maria Oliveira,Camiseta,Roupas,4,35.8,PR
14,2022-12-29,Mariana Alves,Shampoo,Beleza,2,22.14,BA
15,2022-09-29,Carlos Pereira,Cortina,Casa,2,198.8,PR
16,2022-06-18,Ana Silva,Camiseta,Roupas,3,49.33,RS
17,2023-07-16,Maria Oliveira,Laptop A,Eletrônicos,4,2981.15,PR
18,2023-07-12,Desconhecido,Cortina,Casa,1,195.42,PR
19,2025-02-22,Maria Oliveira,Laptop A,Eletrônicos,2,3027.71,RS
20,2022-12-12,Mariana Alves,Cortina,Casa,3,179.62,RJ
21,2021-07-20,Ana Silva,Shampoo,Eletrônicos,2,18.31,SP
22,2021-10-17,Mariana Alves,Smartwatch Z,Eletrônicos,4,734.2,MG
23,2025-04-01,Mariana Alves,Shampoo,Eletrônicos,4,18.47,PR
24,2022-12-28,Ana Silva,Calça Jeans,Roupas,5,122.02,SP
25,2025-02-01,Desconhecido,Jaqueta,Roupas,3,326.63,RS
26,2022-01-01,Desconhecido,Jaqueta,Roupas,437,318.16,BA
27,2022-03-25,Maria Oliveira,Fone X,Eletrônicos,2,162.2,PR
28,2023-08-20,Ana Silva,Carregador Y,Eletrônicos,2,35.08,
29,2023-06-13,Ana Silva,Jaqueta,Roupas,2,315.66,SP
30,2020-12-16,Ana Silva,Panela,Casa,1,123.56,SP
31,2025-04-30,Maria Oliveira,Vassoura,Casa,1,25.73,MG
32,2022-05-17,Desconhecido,Calça Jeans,Roupas,3,111.43,PR
33,2024-09-03,Mariana Alves,Panela,Casa,6,103.56,RJ
34,2022-07-09,Maria Oliveira,Shampoo,Eletrônicos,5,18.46,PR
35,2022-06-21,Ana Silva,Shampoo,Beleza,2,17.86,RJ
36,2020-10-03,Maria Oliveira,Laptop A,Eletrônicos,3,3668.87,RJ
37,2025-06-11,Mariana Alves,Smartwatch Z,Eletrônicos,148,724.04,RJ
38,2025-04-21,João Souza,Fone X,Eletrônicos,4,141.05,PR
39,2024-10-31,Carlos Pereira,Cortina,Casa,2,217.66,
40,2020-08-09,Ana Silva,Vassoura,Casa,2,23.88,MG
41,2021-03-23,João Souza,Jaqueta,Roupas,1,264.5,BA
42,2021-07-28,João Souza,Calça Jeans,Roupas,2,125.94,RJ
43,2020-04-11,Mariana Alves,Fone X,Eletrônicos,2,143.81,PR
44,2020-03-01,João Souza,Smartwatch Z,Eletrônicos,3,847.65,BA
45,2025-05-25,Carlos Pereira,Shampoo,Eletrônicos,2,18.47,MG
46,2020-09-01,Maria Oliveira,Cortina,Casa,1,208.45,MG
47,2025-06-16,João Souza,Camiseta,Roupas,2,44.39,SP
48,2020-09-06,Ana Silva,Perfume,Eletrônicos,3,202.54,BA
49,2021-10-06,Mariana Alves,Laptop A,Eletrônicos,434,3765.14,SP
50,2020-10-05,Carlos Pereira,Laptop A,Eletrônicos,2,3765.14,PR
51,2020-06-11,Carlos Pereira,Perfume,Beleza,4,148.69,RJ
