Data Abertura,Data Fechamento,Tempo Resposta (s),ID Usuario,ID Suporte,ID Problema,Status,Chave_ID_Problema,Chave_ID_Suporte,Chave_ID_Usuario,Dias_Resolucao,Problema,Nome Suporte,Sexo,Data de Nascimento,Nome Usuario,Sexo_Usuario,Data de Nascimento_Usuario,Data de inscrição
2017-01-01,2017-01-02,00:04:14,201,91,2,Encerrado,2,91,201,1,Problema com login,Suporte sem cadastro (ID 91),,,João Lima,M,1981-01-11 00:00:00,2017-09-22 00:00:00
2017-01-01,2017-01-02,00:03:30,197,98,6,Cancelado,6,98,197,1,Recursos não disponíveis,Suporte sem cadastro (ID 98),,,João de Souza,M,1991-10-05 00:00:00,2017-09-17 00:00:00
2017-01-01,2017-01-03,00:03:29,413,95,1,Aguardando resposta do usuário,1,95,413,2,Conexão lenta,Suporte sem cadastro (ID 95),,,Sarah de Carvalho Gomes,F,1981-11-27 00:00:00,2017-10-24 00:00:00
2017-01-01,2017-01-02,00:07:18,213,276,12,Encerrado,12,276,213,1,Emitir certificado,Suporte sem cadastro (ID 276),,,José Rodrigues Pereira,M,1987-09-15 00:00:00,2018-10-23 00:00:00
2017-01-01,2017-01-08,00:12:18,411,199,21,Encerrado,21,199,411,7,Imagem,Suporte sem cadastro (ID 199),,,Rômulo Pedrazza,M,1981-11-11 00:00:00,2019-06-28 00:00:00
2017-01-01,2017-01-07,00:06:15,283,101,9,Cancelado,9,101,283,6,Tempo de resposta,Suporte sem cadastro (ID 101),,,Luize da Costa,F,1983-10-10 00:00:00,2017-04-22 00:00:00
2017-01-01,2017-01-02,00:04:04,139,217,11,Cancelado,11,217,139,1,Dúvidas/Outros,Suporte sem cadastro (ID 217),,,Fillipe Tupini,M,1981-02-14 00:00:00,2018-03-14 00:00:00
2017-01-01,2017-01-01,00:01:18,87,115,17,Encerrado,17,115,87,0,Falha no Excel,Suporte sem cadastro (ID 115),,,Carolina Marques,F,1986-06-26 00:00:00,2019-02-16 00:00:00
2017-01-01,2017-01-06,00:04:14,12,102,1,Encerrado,1,102,12,5,Conexão lenta,Suporte sem cadastro (ID 102),,,Amanda Marinho,F,1988-06-25 00:00:00,2019-04-18 00:00:00
2017-01-01,2017-01-10,00:05:06,304,140,6,Cancelado,6,140,304,9,Recursos não disponíveis,Suporte sem cadastro (ID 140),,,Marianna Oliveira Leite Silva,F,1985-03-13 00:00:00,2019-10-03 00:00:00
2017-01-01,2017-01-01,00:01:46,389,52,6,Encerrado,6,52,389,0,Recursos não disponíveis,Suporte sem cadastro (ID 52),,,Raíza Barcellos,F,1998-01-31 00:00:00,2019-10-14 00:00:00
2017-01-02,2017-01-03,00:07:09,77,83,21,Encerrado,21,83,77,1,Imagem,Suporte sem cadastro (ID 83),,,Carlos Mota,M,1994-05-06 00:00:00,2018-11-03 00:00:00
2017-01-02,2017-01-02,00:04:43,378,136,15,Encerrado,15,136,378,0,Página indisponível,Suporte sem cadastro (ID 136),,,Rafael Carrera,M,1995-05-14 00:00:00,2018-01-04 00:00:00
